,columns,values
0,ALVARI,369.42047119140625
1,ARAMCOSG,2928.86181640625
2,ARAMCOTF,1.2896440029144287
3,BPSG,9696.447265625
4,BRIGHTOILSG,124.059326171875
5,BUYER1,421.5766906738281
6,CAOSG,22.898624420166016
7,CARGILLSG,9.208253860473633
8,CCMA,5.616347789764404
9,CHEVRONSG,104.09479522705078
10,COASTAL,2341.346435546875
11,ENOC,37725.22265625
12,FREEPTSG,400.76214599609375
13,GLENCORESG,5208.50634765625
14,GPGLOBALSG,10.15667724609375
15,GUNVORSG,8441.8037109375
16,HL,5484.30712890625
17,IDEMITSU,705.5287475585938
18,ITGRES,39.778038024902344
19,KAIROS,0.19802212715148926
20,KOCHRI,7.7991557121276855
21,LUKOIL,4097.67431640625
22,MACQUARIESG,103.529296875
23,MAERSKSG,609.3601684570312
24,MERCURIARESOURCES,1678.95361328125
25,MERCURIASG,23371.6953125
26,METS,321.4337158203125
27,MIPCO,2800.5068359375
28,P66SG,16030.662109375
29,PETCO,27.633544921875
30,PETROCHINA,6004.41259765625
31,PETROSUMMIT,151.22012329101562
32,PTT,346.04150390625
33,REPSOLSG,2086.47705078125
34,RGES,9.969106674194336
35,SELLER1,83.82738494873047
36,SIETCO,6355.17919921875
37,SINOPECFO,233.09170532226562
38,SINOPECHKSG,1945.2821044921875
39,SOCAR,2117.23291015625
40,TOTALSG,4104.1708984375
41,TRAFI,4987.72021484375
42,VITOLSG,6461.47412109375
43,_rgp_01_sz_3,12063.9990234375
44,_rgp_02_sz_3,12993.4365234375
45,_rgp_03_sz_3,19203.09765625
46,_rgp_04_sz_3,2988.01171875
47,_rgp_05_sz_3,7904.25634765625
48,_rgp_06_sz_3,3884.00390625
49,_rgp_07_sz_3,5338.05419921875
50,_rgp_08_sz_3,583.54052734375
51,_rgp_09_sz_3,141.71551513671875
52,_rgp_10_sz_3,122345.8203125
53,year_sin,12208.80078125
54,month_sin,50637.97265625
55,day_sin,781.3185424804688
56,dow_sin,31.120615005493164
57,month_num,10690.3369140625
58,day_num,2515.217529296875
59,dow_num,113.78622436523438
60,neg_BPSG,194.21128845214844
61,neg_COASTAL,10.371560096740723
62,neg_GLENCORESG,384.98297119140625
63,neg_GUNVORSG,321.5357360839844
64,neg_HL,984.5508422851562
65,neg_MERCURIASG,9804.400390625
66,neg_MIPCO,159.8369903564453
67,neg_P66SG,1847.52099609375
68,neg_PETROCHINA,3537.759033203125
69,neg_REPSOLSG,26.576984405517578
70,neg_SIETCO,69.70156860351562
71,neg_TOTALSG,428.72247314453125
72,neg_TRAFI,166.34323120117188
73,neg_VITOLSG,364.47662353515625
74,neg__rgp_01_sz_3,6612.0107421875
75,neg__rgp_02_sz_3,354.6130676269531
76,neg__rgp_03_sz_3,186.92657470703125
77,neg__rgp_04_sz_3,3586.952392578125
78,neg__rgp_05_sz_3,156.99221801757812
79,neg__rgp_06_sz_3,22.988914489746094
80,neg__rgp_07_sz_3,592.89892578125
81,neg__rgp_08_sz_3,0.7157103419303894
